Test Case Identifier,Step No,Action,Data,Expected Result,Priority,Test Summary,Description,TestSet,TestPlan,Sprint,Assignee,Componente,Label,Label,Label,Label
MMCS - 37731 - 04,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,,,,,,,
MMCS - 37731 - 04,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,,,,,,,
MMCS - 37731 - 04,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,,,,,,,
MMCS - 37731 - 04,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- On Demand
- Catalogo extendido",P1,,,,,,,,,,,
MMCS - 37731 - 04,6,Seleccionar Competidores,,"El campo competidor ahora muestra la leyenda ""
Selecciona hasta 4 competidores""",P1,,,,,,,,,,,
MMCS - 37731 - 04,7,Dar clic al botón Aplicar,,El sistema aplica el filtro de la selección realizada y está lista para agregar más datos de filtos o realizar la búsqueda,P1,,,,,,,,,,,
MMCS - 37731 - 04,8,Validar Mensaje de Instrucciones en las pestañas de Resultados,,"El sistema muestra imagen con texto ""Filtra la información para ver aquí tus matches"" cuando no se ha realizado una búsqueda",P1,,,,,,,,,,,
MMCS - 37731 - 05,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-18-37731-05- Automatches - Esqueleto de búsqueda,,MMCS-39625,MMCS-39591,312171,vn57rn3,PCS_Kraken 2025,DA_AX,DEV,SP-KR-27,TC-Compass
MMCS - 37731 - 05,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,,,,,,,
MMCS - 37731 - 05,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,,,,,,,
MMCS - 37731 - 05,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,,,,,,,
MMCS - 37731 - 05,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- On Demand
- Catalogo extendido",P1,,,,,,,,,,,
MMCS - 37731 - 05,6,Seleccionar Competidores,,"El campo competidor ahora muestra la leyenda ""
Selecciona hasta 4 competidores""",P1,,,,,,,,,,,
MMCS - 37731 - 05,7,Dar clic al botón Aplicar,,El sistema aplica el filtro de la selección realizada y está lista para agregar más datos de filtos o realizar la búsqueda,P1,,,,,,,,,,,
